Temp,Pressure (kPa),v,u,h,s,state
45.81,10,14.67355,2437.89,2584.63,8.1501,saturated
50,10,14.8692,2443.87,2592.56,8.1749,superheated
81.33,50,3.24034,2483.85,2645.87,7.5939,saturated
100,10,17.19561,2515.5,2687.46,8.4479,superheated
100,50,3.41833,2511.61,2682.52,7.6947,superheated
120.23,200,0.88573,2529.49,2706.63,7.1271,saturated
150,10,19.51251,2587.86,2782.99,8.6881,superheated
150,50,3.88937,2585.61,2780.08,7.94,superheated
150,100,1.93636,2582.75,2776.38,7.6133,superheated
150,200,0.95964,2576.87,2768.8,7.2795,superheated
150,300,0.63388,2570.79,2760.95,7.0778,superheated
150,400,0.47084,2564.48,2752.82,6.9299,superheated
151.86,500,0.37489,2561.23,2748.67,6.8212,saturated
158.85,600,0.31567,2567.4,2756.8,6.76,saturated
170.43,800,0.24043,2576.79,2769.13,6.6627,saturated
179.91,1000,0.19444,2583.64,2778.08,6.5864,saturated
187.99,1200,0.16333,2588.82,2784.82,6.5233,saturated
195.07,1400,0.14084,2592.83,2790,6.4692,saturated
200,10,21.82507,2661.27,2879.52,8.9037,superheated
200,50,4.35595,2659.85,2877.64,8.1579,superheated
200,100,2.17226,2658.05,2875.27,7.8342,superheated
200,200,1.08034,2654.39,2870.46,7.5066,superheated
200,300,0.71629,2650.65,2865.54,7.3115,superheated
200,400,0.53422,2646.83,2860.51,7.1706,superheated
200,500,0.42492,2642.91,2855.37,7.0592,superheated
200,600,0.35202,2638.91,2850.12,6.9665,superheated
200,800,0.2608,2630.61,2839.25,6.8158,superheated
200,1000,0.20596,2621.9,2827.86,6.6939,superheated
200,1200,0.1693,2612.74,2815.9,6.5898,superheated
200,1400,0.14302,2603.09,2803.32,6.4975,superheated
201.4,1600,0.1238,2595.95,2794.02,6.4217,saturated
207.15,1800,0.11042,2598.38,2797.13,6.3793,saturated
212.42,2000,0.09963,2600.26,2799.51,6.3408,saturated
223.99,2500,0.07998,2603.13,2803.07,6.2574,saturated
233.9,3000,0.06668,2604.1,2804.14,6.1869,saturated
250,10,24.13559,2735.95,2977.31,9.1002,superheated
250,50,4.82045,2734.97,2975.99,8.3555,superheated
250,100,2.40604,2733.73,2974.33,8.0332,superheated
250,200,1.1988,2731.22,2970.98,7.7085,superheated
250,300,0.79636,2728.69,2967.59,7.5165,superheated
250,400,0.59512,2726.11,2964.16,7.3788,superheated
250,500,0.47436,2723.5,2960.68,7.2708,superheated
250,600,0.39383,2720.86,2957.16,7.1816,superheated
250,800,0.29314,2715.46,2949.97,7.0384,superheated
250,1000,0.23268,2709.91,2942.59,6.9246,superheated
250,1200,0.19235,2704.2,2935.01,6.8293,superheated
250,1400,0.1635,2698.32,2927.22,6.7467,superheated
250,1600,0.14184,2692.26,2919.2,6.6732,superheated
250,1800,0.12497,2686.02,2910.96,6.6066,superheated
250,2000,0.11144,2679.58,2902.46,6.5452,superheated
250,2500,0.087,2662.55,2880.06,6.4084,superheated
250,3000,0.07058,2644,2855.75,6.2871,superheated
250.4,4000,0.04978,2602.27,2801.38,6.07,saturated
263.99,5000,0.03944,2597.12,2794.33,5.9733,saturated
275.64,6000,0.03244,2589.69,2784.33,5.8891,saturated
295.06,8000,0.02352,2569.79,2757.94,5.7431,saturated
300,10,26.44508,2812.06,3076.51,9.2812,superheated
