Temp,Pressure (kPa),v_f,v_g,u_f,u_g,h_f,h_g,s_f,s_g,state
0.01,0.6113,0.001,206.132,0,2375.33,0,2501.35,0,9.1562,saturated
5,0.8721,0.001,147.118,20.97,2382.24,20.98,2510.54,0.0761,9.0257,saturated
10,1.2276,0.001,106.377,41.99,2389.15,41.99,2519.74,0.151,8.9007,saturated
15,1.705,0.001001,77.925,62.98,2396.04,62.98,2528.91,0.2245,8.7813,saturated
20,2.339,0.001002,57.7897,83.94,2402.91,83.94,2538.06,0.2966,8.6671,saturated
25,3.169,0.001003,43.3593,104.86,2409.76,104.87,2547.17,0.3673,8.5579,saturated
30,4.246,0.001004,32.8932,125.77,2416.58,125.77,2556.25,0.4369,8.4533,saturated
35,5.628,0.001006,25.2158,146.65,2423.36,146.66,2565.28,0.5052,8.353,saturated
40,7.384,0.001008,19.5229,167.53,2430.11,167.54,2574.26,0.5724,8.2569,saturated
45,9.593,0.00101,15.2581,188.41,2436.81,188.42,2583.19,0.6386,8.1647,saturated
50,12.35,0.001012,12.0318,209.3,2443.47,209.31,2592.06,0.7037,8.0762,saturated
55,15.758,0.001015,9.56835,230.19,2450.08,230.2,2600.86,0.7679,7.9912,saturated
60,19.941,0.001017,7.67071,251.09,2456.63,251.11,2609.59,0.8311,7.9095,saturated
65,25.03,0.00102,6.19656,272,2463.12,272.03,2618.24,0.8934,7.8309,saturated
70,31.19,0.001023,5.04217,292.93,2469.55,292.96,2626.8,0.9548,7.7552,saturated
75,38.58,0.001026,4.13123,313.87,2475.91,313.91,2635.28,1.0154,7.6824,saturated
80,47.39,0.001029,3.40715,334.84,2482.19,334.88,2643.66,1.0752,7.6121,saturated
85,57.83,0.001032,2.82757,355.82,2488.4,355.88,2651.93,1.1342,7.5444,saturated
90,70.14,0.001036,2.36056,376.82,2494.52,376.9,2660.09,1.1924,7.479,saturated
95,84.55,0.00104,1.98186,397.86,2500.56,397.94,2668.13,1.25,7.4158,saturated
100,101.3,0.001044,1.6729,418.91,2506.5,419.02,2676.05,1.3068,7.3548,saturated
105,120.8,0.001047,1.41936,440,2512.34,440.13,2683.83,1.3629,7.2958,saturated
110,143.3,0.001052,1.21014,461.12,2518.09,461.27,2691.47,1.4184,7.2386,saturated
115,169.1,0.001056,1.03658,482.28,2523.72,482.46,2698.96,1.4733,7.1832,saturated
120,198.5,0.00106,0.89186,503.48,2529.24,503.69,2706.3,1.5275,7.1295,saturated
125,232.1,0.001065,0.77059,524.72,2534.63,524.96,2713.46,1.5812,7.0774,saturated
130,270.1,0.00107,0.6685,546,2539.9,546.29,2720.46,1.6343,7.0269,saturated
135,313,0.001075,0.58217,567.34,2545.03,567.67,2727.26,1.6869,6.9777,saturated
140,361.3,0.00108,0.50885,588.72,2550.02,589.11,2733.87,1.739,6.9298,saturated
145,415.4,0.001085,0.44632,610.16,2554.86,610.61,2740.26,1.7906,6.8832,saturated
150,475.9,0.00109,0.39278,631.66,2559.54,632.18,2746.44,1.8417,6.8378,saturated
155,543.1,0.001096,0.34676,653.23,2564.04,653.82,2752.39,1.8924,6.7934,saturated
160,617.8,0.001102,0.30706,674.85,2568.37,675.53,2758.09,1.9426,6.7501,saturated
165,700.5,0.001108,0.27269,696.55,2572.51,697.32,2763.53,1.9924,6.7078,saturated
170,791.7,0.001114,0.24283,718.31,2576.46,719.2,2768.7,2.0418,6.6663,saturated
175,892,0.001121,0.2168,740.16,2580.19,741.16,2773.58,2.0909,6.6256,saturated
180,1002.2,0.001127,0.19405,762.08,2583.7,763.21,2778.16,2.1395,6.5857,saturated
185,1122.7,0.001134,0.17409,784.08,2586.98,785.36,2782.43,2.1878,6.5464,saturated
190,1254.4,0.001141,0.15654,806.17,2590.01,807.61,2786.37,2.2358,6.5078,saturated
195,1397.8,0.001149,0.14105,828.36,2592.79,829.96,2789.96,2.2835,6.4697,saturated
200,1553.8,0.001156,0.12736,850.64,2595.29,852.43,2793.18,2.3308,6.4322,saturated
205,1723,0.001164,0.11521,873.02,2597.52,875.03,2796.03,2.3779,6.3951,saturated
210,1906.3,0.001173,0.10441,895.51,2599.44,897.75,2798.48,2.4247,6.3584,saturated
215,2104.2,0.001181,0.09479,918.12,2601.06,920.61,2800.51,2.4713,6.3221,saturated
220,2317.8,0.00119,0.08619,940.85,2602.35,943.61,2802.12,2.5177,6.286,saturated
225,2547.7,0.001199,0.07849,963.72,2603.3,966.77,2803.27,2.5639,6.2502,saturated
230,2794.9,0.001209,0.07158,986.72,2603.89,990.1,2803.95,2.6099,6.2146,saturated
235,3060.1,0.001219,0.06536,1009.88,2604.11,1013.61,2804.13,2.6557,6.1791,saturated
240,3344.2,0.001229,0.05976,1033.19,2603.95,1037.31,2803.81,2.7015,6.1436,saturated
245,3648.2,0.00124,0.0547,1056.69,2603.37,1061.21,2802.95,2.7471,6.1083,saturated
250,3973,0.001251,0.05013,1080.37,2602.37,1085.34,2801.52,2.7927,6.0729,saturated
255,4319.5,0.001263,0.04598,1104.26,2600.93,1109.72,2799.51,2.8382,6.0374,saturated
260,4688.6,0.001276,0.0422,1128.37,2599.01,1134.35,2796.89,2.8837,6.0018,saturated
265,5081.3,0.001289,0.03877,1152.72,2596.6,1159.27,2793.61,2.9293,5.9661,saturated
270,5498.7,0.001302,0.03564,1177.33,2593.66,1184.49,2789.65,2.975,5.9301,saturated
275,5941.8,0.001317,0.03279,1202.23,2590.17,1210.05,2784.97,3.0208,5.8937,saturated
280,6411.7,0.001332,0.03017,1227.43,2586.09,1235.97,2779.53,3.0667,5.857,saturated
285,6909.4,0.001348,0.02777,1252.98,2581.38,1262.29,2773.27,3.1129,5.8198,saturated
290,7436,0.001366,0.02557,1278.89,2575.99,1289.04,2766.13,3.1593,5.7821,saturated
295,7992.8,0.001384,0.02354,1305.21,2569.87,1316.27,2758.05,3.2061,5.7436,saturated
300,8581,0.001404,0.02167,1331.97,2562.96,1344.01,2748.94,3.2533,5.7044,saturated
305,9201.8,0.001425,0.01995,1359.22,2555.16,1372.33,2738.72,3.3009,5.6642,saturated
310,9856.6,0.001447,0.01835,1387.03,2546.4,1401.29,2727.27,3.3492,5.6229,saturated
315,10547,0.001472,0.01687,1415.44,2536.55,1430.97,2714.44,3.3981,5.5803,saturated
320,11274,0.001499,0.01549,1444.55,2525.48,1461.45,2700.08,3.4479,5.5361,saturated
325,12040,0.001528,0.0142,1474.44,2513.01,1492.84,2683.97,3.4987,5.49,saturated
330,12845,0.001561,0.013,1505.24,2498.91,1525.29,2665.85,3.5506,5.4416,saturated
335,13694,0.001597,0.01186,1537.11,2482.88,1558.98,2645.35,3.604,5.3903,saturated
340,14586,0.001638,0.0108,1570.26,2464.53,1594.15,2622.01,3.6593,5.3356,saturated
345,15525,0.001685,0.00978,1605.01,2443.3,1631.17,2595.19,3.7169,5.2763,saturated
350,16514,0.00174,0.00881,1641.81,2418.39,1670.54,2563.92,3.7776,5.2111,saturated
355,17554,0.001807,0.00787,1681.41,2388.52,1713.13,2526.72,3.8427,5.1378,saturated
360,18651,0.001892,0.00694,1725.19,2351.47,1760.48,2481,3.9146,5.0525,saturated
365,19807,0.002011,0.00599,1776.13,2302.67,1815.96,2421.4,3.9983,4.947,saturated
370,21028,0.002213,0.00493,1843.84,2228.53,1890.37,2332.12,4.1104,4.7972,saturated
374.1,22089,0.003155,0.00315,2029.58,2029.58,2099.26,2099.26,4.4297,4.4297,saturated
